Date,Open,High,Low,Close,Adj Close,Volume
2011-08-04,5.225000,5.264583,4.733750,4.733750,4.556075,5532000
2011-08-05,4.925833,4.967083,4.447083,4.805000,4.624650,3648000
2011-08-08,4.428750,4.649583,4.019167,4.030833,3.879541,8275200
2011-08-09,4.200000,4.489167,3.800000,4.489167,4.320673,7924800
2011-08-10,4.244167,4.293333,3.848333,3.875833,3.730359,9268800
2011-08-11,4.001250,4.488333,3.957083,4.321250,4.159059,6372000
2011-08-12,4.475000,4.578750,4.364583,4.491667,4.323078,5020800
2011-08-15,4.620417,4.744583,4.577083,4.742083,4.564096,3079200
2011-08-16,4.629167,4.737500,4.518333,4.645833,4.471457,3180000
2011-08-17,4.729583,4.812500,4.572500,4.675000,4.499530,3060000
2011-08-18,4.347083,4.350833,4.030000,4.185000,4.027923,6585600
2011-08-19,3.997917,4.264167,3.948750,3.962500,3.813773,4435200
2011-08-22,4.211667,4.214167,3.978333,3.997500,3.847459,2906400
2011-08-23,4.060417,4.349167,4.018750,4.337917,4.175099,4123200
2011-08-24,4.313750,4.529583,4.291667,4.525000,4.355159,2724000
2011-08-25,4.583333,4.618333,4.276250,4.316667,4.154646,2328000
2011-08-26,4.252083,4.520833,4.071250,4.480417,4.312251,2493600
2011-08-29,4.641250,4.786250,4.635417,4.775000,4.595778,2803200
2011-08-30,4.736667,4.901250,4.662083,4.808333,4.627860,3489600
2011-08-31,4.910417,5.006250,4.793750,4.883333,4.700044,3196800
2011-09-01,4.892500,5.010417,4.723750,4.723750,4.546451,2275200
2011-09-02,4.475000,4.537917,4.385833,4.423333,4.257309,4922400
2011-09-06,4.092500,4.321667,4.055417,4.297500,4.136199,4740000
2011-09-07,4.481667,4.614583,4.433333,4.614583,4.441382,2476800
2011-09-08,4.537083,4.692083,4.465000,4.477500,4.309443,2870400
2011-09-09,4.335417,4.336667,4.052083,4.118750,3.964159,4500000
2011-09-12,3.950417,4.200000,3.935417,4.199583,4.041957,3664800
2011-09-13,4.215833,4.291667,4.114583,4.242083,4.082862,2724000
2011-09-14,4.309167,4.575000,4.135417,4.412083,4.246482,5829600
2011-09-15,4.533333,4.636250,4.462500,4.635000,4.461030,2901600
2011-09-16,4.693750,4.754583,4.601667,4.722917,4.545650,3504000
2011-09-19,4.507083,4.645417,4.416667,4.588333,4.416116,2887200
2011-09-20,4.644167,4.770833,4.555000,4.611667,4.438575,3962400
2011-09-21,4.604167,4.645833,4.237500,4.237500,4.081954,5256000
2011-09-22,3.893750,3.955417,3.647083,3.802500,3.662923,13939200
2011-09-23,3.738333,3.879583,3.700833,3.836250,3.695434,5620800
2011-09-26,3.931667,4.146250,3.846250,4.136250,3.984421,8047200
2011-09-27,4.389583,4.493750,4.238333,4.299167,4.141357,6237600
2011-09-28,4.351250,4.444167,4.078333,4.091250,3.941072,3120000
2011-09-29,4.322500,4.382917,4.049583,4.257083,4.100820,6873600
2011-09-30,4.080833,4.229167,3.977083,3.979583,3.833505,5157600
2011-10-03,3.902083,4.050000,3.691667,3.694167,3.558565,11349600
2011-10-04,3.562083,3.878333,3.439167,3.850000,3.708679,10816800
2011-10-05,3.857917,4.017917,3.792917,4.006250,3.859193,5887200
2011-10-06,4.015833,4.216250,3.928750,4.203750,4.049443,7764000
2011-10-07,4.290417,4.328333,4.125000,4.187500,4.033790,8114400
2011-10-10,4.388750,4.559583,4.372917,4.559583,4.392215,4293600
2011-10-11,4.482917,4.575000,4.477500,4.538750,4.372147,4418400
2011-10-12,4.633333,4.780000,4.583333,4.651250,4.480518,5306400
2011-10-13,4.581250,4.652500,4.487500,4.608750,4.439579,4128000
2011-10-14,4.756250,4.812500,4.676667,4.812500,4.635849,4840800
2011-10-17,4.759583,4.759583,4.479167,4.508333,4.342847,3770400
2011-10-18,4.458333,4.803750,4.384583,4.705833,4.533098,7142400
2011-10-19,4.699167,4.789167,4.587083,4.617083,4.447604,6338400
